GO:0000015	phosphopyruvate hydratase complex
GO:1990249	nucleotide-excision repair, DNA damage recognition complex
GO:1990250	transcription-coupled nucleotide-excision repair, DNA damage recognition complex
GO:1990252	Syp1 complex
GO:1990265	platelet-derived growth factor complex
GO:1990270	platelet-derived growth factor receptor-ligand complex
GO:1990281	efflux pump complex
GO:1990298	bub1-bub3 complex
GO:1990302	Bre1-Rad6 ubiquitin ligase complex
GO:1990303	UBR1-RAD6 ubiquitin ligase complex
GO:1990304	MUB1-RAD6-UBR2 ubiquitin ligase complex
GO:1990305	RAD6-UBR2 ubiquitin ligase complex
GO:1990306	RSP5-BUL ubiquitin ligase complex
GO:1990315	Mcs4 RR-MAPKKK complex
GO:1990316	Atg1/ULK1 kinase complex
GO:1990317	Gin4 complex
GO:1990318	collagen type XIX trimer
GO:1990319	collagen type XX trimer
GO:1990320	collagen type XXI trimer
GO:1990321	collagen type XXII trimer
GO:1990322	collagen type XXIII trimer
GO:1990323	collagen type XXIV trimer
GO:1990324	collagen type XXVI trimer
GO:1990325	collagen type XXVII trimer
GO:1990326	collagen type XXVIII trimer
GO:1990327	collagen type XXV trimer
GO:1990328	RPB4-RPB7 complex
GO:1990329	IscS-TusA complex
GO:1990330	IscS-IscU complex
GO:1990331	Hpa2 acetyltransferase complex
GO:1990332	Ire1 complex
GO:1990333	mitotic checkpoint complex, CDC20-MAD2 subcomplex
GO:1990334	Bfa1-Bub2 complex
GO:1990338	laminin-14 complex
GO:1990339	laminin-522 complex
GO:1990340	laminin-15 complex
GO:1990341	thrombospondin complex
GO:1990346	BID-BCL-xl complex
GO:1990350	glucose transporter complex
GO:1990351	transporter complex
GO:1990352	BRE1 E3 ubiquitin ligase complex
GO:1990353	Fused-Smurf ubiquitin ligase complex
GO:1990354	activated SUMO-E1 ligase complex
GO:1990356	sumoylated E2 ligase complex
GO:1990358	xylanosome
GO:1990360	PKM2 protein kinase complex
GO:1990361	PKM2 pyruvate kinase complex
GO:1990374	Kir2 inward rectifier potassium channel complex
GO:1990378	upstream stimulatory factor complex
GO:1990389	CUE1-UBC7 ubiquitin-conjugating enzyme complex
GO:1990391	DNA repair complex
GO:1990392	EFF-1 complex
GO:1990393	3M complex
GO:1990398	Cus cation efflux complex
GO:1990406	CGRP receptor complex
GO:1990415	Pex17p-Pex14p docking complex
GO:1990423	RZZ complex
GO:1990425	ryanodine receptor complex
GO:1990429	peroxisomal importomer complex
GO:1990433	CSL-Notch-Mastermind transcription factor complex
GO:1990452	Parkin-FBXW7-Cul1 ubiquitin ligase complex
GO:1990453	nucleosome disassembly/reassembly complex
GO:1990454	L-type voltage-gated calcium channel complex
GO:1990455	PTEN phosphatase complex
GO:1990463	lateral cortical node
GO:1990467	NuA3a histone acetyltransferase complex
GO:1990468	NuA3b histone acetyltransferase complex
GO:1990469	Rhino-Deadlock-Cutoff Complex
GO:1990477	NURS complex
GO:1990490	archaeal proton-transporting A-type ATPase complex
GO:1990499	raps-insc complex
GO:1990500	eif4e-cup complex
GO:1990501	exon-exon junction subcomplex mago-y14
GO:1990508	CKM complex
GO:1990509	PYM-mago-Y14 complex
GO:1990512	Cry-Per complex
GO:1990513	CLOCK-BMAL transcription complex
GO:1990520	separase-securin complex
GO:1990524	INA complex
GO:1990526	Ste12p-Dig1p-Dig2p complex
GO:1990527	Tec1p-Ste12p-Dig1p complex
GO:1990528	Rvs161p-Rvs167p complex
GO:1990529	glycosylphosphatidylinositol-mannosyltransferase I complex
GO:1990530	Cdc50p-Drs2p complex
GO:1990531	phospholipid-translocating ATPase complex
GO:1990533	Dom34-Hbs1 complex
GO:1990562	syndecan-syntenin-ALIX complex
GO:1990563	extracellular exosome complex
GO:1990565	HSP90-CDC37 chaperone complex
GO:1990566	I(KACh) inward rectifier potassium channel complex
GO:1990567	DPS complex
GO:1990572	TERT-RMRP complex
GO:1990584	cardiac Troponin complex
GO:1990586	divisome complex
GO:1990587	FtsQBL complex
GO:1990588	FtsBL complex
GO:1990589	ATF4-CREB1 transcription factor complex
GO:1990590	ATF1-ATF4 transcription factor complex
GO:1990597	AIP1-IRE1 complex
GO:1990604	IRE1-TRAF2-ASK1 complex
GO:1990612	Sad1-Kms1 LINC complex
GO:1990615	Kelch-containing formin regulatory complex
GO:1990617	CHOP-ATF4 complex
GO:1990620	ANPR-A receptor complex
GO:1990621	ESCRT IV complex
GO:1990622	CHOP-ATF3 complex
GO:1990629	phospholamban complex
GO:1990630	IRE1-RACK1-PP2A complex
GO:1990647	C/EBP complex
GO:1990657	iNOS-S100A8/A9 complex
GO:1990658	transnitrosylase complex
GO:1990660	calprotectin complex
GO:1990661	S100A8 complex
GO:1990662	S100A9 complex
GO:1990664	Nkx-2.5 complex
GO:1990665	AnxA2-p11 complex
GO:1990666	PCSK9-LDLR complex
GO:1990667	PCSK9-AnxA2 complex
GO:1990677	mitochondrial inner membrane assembly complex
GO:1990682	CSF1-CSF1R complex
GO:1990684	protein-lipid-RNA complex
GO:1990685	HDL-containing protein-lipid-RNA complex
GO:1990686	LDL-containing protein-lipid-RNA complex
GO:1990696	USH2 complex
GO:1990706	MAD1 complex
GO:1990710	MutS complex
GO:1990711	beta-catenin-ICAT complex
GO:1990712	HFE-transferrin receptor complex
GO:1990713	survivin complex
GO:1990722	DAPK1-calmodulin complex
GO:1990724	galectin complex
GO:1990726	Lsm1-7-Pat1 complex
GO:1990727	tubulin folding cofactor complex
GO:1990728	mitotic spindle assembly checkpoint MAD1-MAD2 complex
GO:1990730	VCP-NSFL1C complex
GO:1990733	titin-telethonin complex
GO:1990745	EARP complex
GO:1990777	lipoprotein particle
GO:1990779	glycoprotein Ib-IX-V complex
GO:1990788	GLI-SUFU complex
GO:1990811	MWP complex
GO:1990850	H-gal-GP complex
GO:1990851	Wnt-Frizzled-LRP5/6 complex
GO:1990860	Pho85-Pho80 CDK-cyclin complex
GO:1990861	Ubp3-Bre5 deubiquitination complex
GO:1990862	nuclear membrane complex Bqt3-Bqt4
GO:1990871	Vma12-Vma22 assembly complex
GO:1990877	Lst4-Lst7 complex
GO:1990879	CST complex
GO:1990904	ribonucleoprotein complex
GO:1990907	beta-catenin-TCF complex
GO:1990909	Wnt signalosome
GO:1990923	PET complex
GO:1990957	NPHP complex
GO:1990964	actin cytoskeleton-regulatory complex
GO:1990971	EMILIN complex
GO:1990972	multimerin complex
GO:0106095	m7G(5')pppN diphosphatase complex
GO:1990483	Clr6 histone deacetylase complex I
GO:0071204	histone pre-mRNA 3'end processing complex
